Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2013",,,,,,,,,,
,,,,,,,,,, release date: 2/9/2016
"SOURCE: 2013 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see http://www.census.gov/econ/susb/methodology.html.",,,,,,,,,,
"For definitions, see http://www.census.gov/econ/susb/definitions.html.",,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,
,,,,,,,,,,
,,,,,,,,,,
16,Idaho,05:  <20,"31,511","31,778","119,749",G,"3,639,856",G,,
16,Idaho,06:  20-99,"2,714","3,721","93,728",G,"3,105,741",G,,
16,Idaho,07:  100-499,757,"2,095","71,405",G,"2,327,867",G,,
16,Idaho,08:  <500,"34,982","37,594","284,882",G,"9,073,464",G,,
16,Idaho,09:  500+,"1,230","5,530","225,104",G,"9,485,648",G,,
17,Illinois,01:  Total,"253,743","315,364","5,209,070",G,"262,263,398",G,,
17,Illinois,02:  0-4,"156,484","156,647","246,844",H,"10,548,446",G,,
17,Illinois,03:  5-9,"39,569","39,979","259,182",G,"9,787,759",G,,
17,Illinois,04:  10-19,"24,488","25,634","326,686",G,"13,158,249",G,,
17,Illinois,05:  <20,"220,541","222,260","832,712",G,"33,494,454",G,,
17,Illinois,06:  20-99,"22,726","28,665","845,711",G,"37,191,730",G,,
17,Illinois,07:  100-499,"5,959","14,898","738,928",G,"35,976,067",G,,
17,Illinois,08:  <500,"249,226","265,823","2,417,351",G,"106,662,251",G,,
17,Illinois,09:  500+,"4,517","49,541","2,791,719",G,"155,601,147",G,,
18,Indiana,01:  Total,"108,554","143,515","2,555,979",G,"103,134,350",G,,
18,Indiana,02:  0-4,"59,704","59,765","104,367",G,"3,429,819",G,,
18,Indiana,03:  5-9,"19,523","19,729","128,393",G,"3,879,837",G,,
18,Indiana,04:  10-19,"12,169","12,825","162,435",G,"5,174,231",G,,
18,Indiana,05:  <20,"91,396","92,319","395,195",G,"12,483,887",G,,
18,Indiana,06:  20-99,"11,090","14,639","407,307",G,"14,426,622",G,,
18,Indiana,07:  100-499,"2,976","8,622","366,335",G,"14,054,334",G,,
18,Indiana,08:  <500,"105,462","115,580","1,168,837",G,"40,964,843",G,,
18,Indiana,09:  500+,"3,092","27,935","1,387,142",G,"62,169,507",G,,
19,Iowa,01:  Total,"62,453","80,581","1,305,216",G,"50,343,119",G,,
19,Iowa,02:  0-4,"35,963","36,007","61,305",G,"1,960,960",G,,
19,Iowa,03:  5-9,"10,670","10,816","70,001",G,"2,080,305",G,,
19,Iowa,04:  10-19,"6,638","7,137","88,090",G,"2,746,503",G,,
19,Iowa,05:  <20,"53,271","53,960","219,396",G,"6,787,768",G,,
19,Iowa,06:  20-99,"5,750","8,625","214,044",G,"7,444,301",G,,
19,Iowa,07:  100-499,"1,600","5,459","199,830",G,"7,810,023",G,,
19,Iowa,08:  <500,"60,621","68,044","633,270",G,"22,042,092",G,,
19,Iowa,09:  500+,"1,832","12,537","671,946",G,"28,301,027",G,,
20,Kansas,01:  Total,"58,068","73,816","1,150,401",G,"47,715,601",G,,
20,Kansas,02:  0-4,"32,856","32,893","56,528",G,"1,883,035",G,,
20,Kansas,03:  5-9,"9,917","10,035","65,022",G,"1,993,333",G,,
20,Kansas,04:  10-19,"6,088","6,411","80,632",G,"2,724,505",G,,
20,Kansas,05:  <20,"48,861","49,339","202,182",G,"6,600,873",G,,
20,Kansas,06:  20-99,"5,490","7,706","201,085",G,"7,271,301",G,,
20,Kansas,07:  100-499,"1,644","4,516","193,012",G,"7,746,320",G,,
20,Kansas,08:  <500,"55,995","61,561","596,279",G,"21,618,494",G,,
20,Kansas,09:  500+,"2,073","12,255","554,122",G,"26,097,107",G,,
21,Kentucky,01:  Total,"68,574","90,675","1,507,375",G,"57,541,159",G,,
21,Kentucky,02:  0-4,"38,220","38,263","66,520",G,"2,083,701",G,,
