"          Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2008",,,,,,,,,,
,,,,,,,,,,
"SOURCE: 2008 County Business Patterns.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/econ/susb/methodology.html",,,,,,,,,,
,,ENTERPRISE,,,,,ANNUAL,ANNUAL,,
FIPS,,EMPLOYMENT ,NUMBER,NUMBER OF,,EMPLOYMENT,PAYROLL,PAYROLL,,
CODE,AREA DESCRIPTION, SIZE,OF FIRMS,ESTABLISHMENTS,EMPLOYMENT,NOISE FLAG,"($1,000)",NOISE FLAG,,
30,Montana,4:   10-19,"3,146","3,305","41,658",G,"1,083,624",G,,
30,Montana,5:   <20,"29,028","29,247","110,864",G,"2,948,554",G,,
30,Montana,6:   20-99,"2,275","3,081","79,937",G,"2,190,011",G,,
30,Montana,7:   100-499,486,"1,399","55,703",G,"1,767,071",G,,
30,Montana,8:   <500,"31,789","33,727","246,504",G,"6,905,636",G,,
30,Montana,9:   500+,781,"3,591","113,308",G,"4,172,183",G,,
31,Nebraska,1:   Total,"42,302","52,152","805,791",G,"28,239,392",G,,
31,Nebraska,2:   0-4,"24,558","24,599","41,385",H,"1,189,055",G,,
31,Nebraska,3:   5-9,"7,052","7,135","46,211",G,"1,219,804",G,,
31,Nebraska,4:   10-19,"4,458","4,723","58,760",G,"1,626,233",G,,
31,Nebraska,5:   <20,"36,068","36,457","146,356",G,"4,035,092",G,,
31,Nebraska,6:   20-99,"3,803","5,300","140,977",G,"4,437,917",G,,
31,Nebraska,7:   100-499,"1,014","3,071","120,246",G,"3,986,835",G,,
31,Nebraska,8:   <500,"40,885","44,828","407,579",G,"12,459,844",G,,
31,Nebraska,9:   500+,"1,417","7,324","398,212",G,"15,779,548",G,,
32,Nevada,1:   Total,"49,956","61,826","1,156,080",G,"43,761,567",G,,
32,Nevada,2:   0-4,"28,234","28,302","43,752",G,"2,126,769",G,,
32,Nevada,3:   5-9,"7,878","7,963","51,878",G,"1,737,504",G,,
32,Nevada,4:   10-19,"5,153","5,331","67,955",G,"2,300,184",G,,
32,Nevada,5:   <20,"41,265","41,596","163,585",G,"6,164,457",G,,
32,Nevada,6:   20-99,"4,893","5,867","173,060",G,"6,238,906",G,,
32,Nevada,7:   100-499,"1,614","3,244","153,479",G,"5,687,066",G,,
32,Nevada,8:   <500,"47,772","50,707","490,124",G,"18,090,429",G,,
32,Nevada,9:   500+,"2,184","11,119","665,956",G,"25,671,138",G,,
33,New Hampshire,1:   Total,"32,334","38,906","595,384",G,"24,970,440",G,,
33,New Hampshire,2:   0-4,"18,117","18,133","31,160",G,"1,258,048",G,,
33,New Hampshire,3:   5-9,"5,718","5,776","37,529",G,"1,313,260",G,,
33,New Hampshire,4:   10-19,"3,474","3,611","46,233",G,"1,728,780",G,,
33,New Hampshire,5:   <20,"27,309","27,520","114,922",G,"4,300,088",G,,
33,New Hampshire,6:   20-99,"3,048","3,757","108,254",G,"4,232,416",G,,
33,New Hampshire,7:   100-499,789,"1,843","86,795",G,"3,602,279",G,,
33,New Hampshire,8:   <500,"31,146","33,120","309,971",G,"12,134,783",G,,
33,New Hampshire,9:   500+,"1,188","5,786","285,413",G,"12,835,657",G,,
34,New Jersey,1:   Total,"202,600","238,440","3,640,654",G,"185,393,520",G,,
34,New Jersey,2:   0-4,"124,884","125,027","215,666",G,"8,688,890",G,,
34,New Jersey,3:   5-9,"33,589","33,837","219,635",G,"8,287,339",G,,
34,New Jersey,4:   10-19,"19,746","20,405","262,114",G,"11,162,223",G,,
34,New Jersey,5:   <20,"178,219","179,269","697,415",G,"28,138,452",G,,
34,New Jersey,6:   20-99,"17,109","19,693","633,907",G,"28,484,271",G,,
34,New Jersey,7:   100-499,"4,054","8,349","517,460",G,"24,123,175",G,,
34,New Jersey,8:   <500,"199,382","207,311","1,848,782",G,"80,745,898",G,,
34,New Jersey,9:   500+,"3,218","31,129","1,791,872",G,"104,647,622",G,,
35,New Mexico,1:   Total,"37,549","46,200","640,894",G,"22,260,582",G,,
35,New Mexico,2:   0-4,"20,915","20,940","35,732",G,"1,141,453",G,,
35,New Mexico,3:   5-9,"6,528","6,604","43,228",G,"1,212,829",G,,
35,New Mexico,4:   10-19,"4,094","4,253","54,520",G,"1,616,989",G,,
35,New Mexico,5:   <20,"31,537","31,797","133,480",G,"3,971,271",G,,
35,New Mexico,6:   20-99,"3,600","4,531","127,353",G,"4,012,282",G,,
35,New Mexico,7:   100-499,893,"2,342","93,969",G,"3,203,124",G,,
35,New Mexico,8:   <500,"36,030","38,670","354,802",G,"11,186,677",G,,
35,New Mexico,9:   500+,"1,519","7,530","286,092",G,"11,073,905",G,,
36,New York,1:   Total,"443,992","518,632","7,617,164",G,"440,631,852",G,,
36,New York,2:   0-4,"287,840","288,149","474,787",G,"20,228,061",G,,
