Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2015",,,,,,,,,,,,, release date: 9/29/2017
,,,,,,,,,,,,,
"SOURCE: 2015 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see http://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,
"For definitions, see http://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,,,,
17,Illinois,03:  5-9,"39,533","39,952","259,743",G,"10,237,662",G,,,,,
17,Illinois,04:  10-19,"24,687","25,710","329,518",G,"14,074,143",G,,,,,
17,Illinois,05:  <20,"221,965","223,636","831,333",G,"35,626,675",G,,,,,
17,Illinois,06:  20-99,"23,214","28,803","871,792",G,"40,336,251",G,,,,,
17,Illinois,07:  100-499,"6,145","15,063","765,944",G,"39,940,763",G,,,,,
17,Illinois,08:  <500,"251,324","267,502","2,469,069",G,"115,903,689",G,,,,,
17,Illinois,09:  500+,"4,692","50,764","2,958,480",G,"173,279,857",G,,,,,
18,Indiana,01:  Total,"108,558","145,116","2,660,503",G,"113,315,432",G,,,,,
18,Indiana,02:  0-4,"59,427","59,504","101,366",G,"3,783,399",G,,,,,
18,Indiana,03:  5-9,"19,211","19,421","126,592",G,"4,036,247",G,,,,,
18,Indiana,04:  10-19,"12,323","12,905","165,104",G,"5,579,580",G,,,,,
18,Indiana,05:  <20,"90,961","91,830","393,062",G,"13,399,226",G,,,,,
18,Indiana,06:  20-99,"11,346","14,721","422,612",G,"15,689,645",G,,,,,
18,Indiana,07:  100-499,"3,071","8,785","382,679",G,"15,735,438",G,,,,,
18,Indiana,08:  <500,"105,378","115,336","1,198,353",G,"44,824,309",G,,,,,
18,Indiana,09:  500+,"3,180","29,780","1,462,150",G,"68,491,123",G,,,,,
19,Iowa,01:  Total,"62,482","80,952","1,338,418",G,"55,079,743",G,,,,,
19,Iowa,02:  0-4,"35,676","35,745","59,702",G,"2,098,270",G,,,,,
19,Iowa,03:  5-9,"10,691","10,851","69,933",G,"2,204,304",G,,,,,
19,Iowa,04:  10-19,"6,721","7,171","89,598",G,"2,993,060",G,,,,,
19,Iowa,05:  <20,"53,088","53,767","219,233",G,"7,295,634",G,,,,,
19,Iowa,06:  20-99,"5,856","8,571","218,445",G,"8,108,251",G,,,,,
19,Iowa,07:  100-499,"1,622","5,547","208,847",G,"8,702,817",G,,,,,
