Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2011",,,,,,,, release date:12/2013,
,,,,,,,,,
"SOURCE: 2011 County Business Patterns.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/econ/susb/methodology.html",,,,,,,,,
FIPS CODE,AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,
27,Minnesota,3:   5-9,"18,216","18,429","120,189",G,"3,928,210",G,
27,Minnesota,4:   10-19,"12,087","12,706","161,468",G,"5,351,848",G,
27,Minnesota,5:   <20,"100,472","101,406","389,237",G,"13,458,708",G,
27,Minnesota,6:   20-99,"10,921","14,296","416,488",G,"15,913,747",G,
27,Minnesota,7:   100-499,"2,718","7,949","368,068",G,"15,071,465",G,
27,Minnesota,8:   <500,"114,111","123,651","1,173,793",G,"44,443,920",G,
27,Minnesota,9:   500+,"2,586","20,955","1,219,953",G,"66,306,948",G,
28,Mississippi,1:   Total,"44,969","58,592","887,772",G,"29,585,310",G,
28,Mississippi,2:   0-4,"24,732","24,773","45,756",G,"1,290,967",G,
28,Mississippi,3:   5-9,"8,419","8,534","55,036",G,"1,468,076",G,
28,Mississippi,4:   10-19,"5,107","5,398","67,459",G,"1,892,110",G,
28,Mississippi,5:   <20,"38,258","38,705","168,251",G,"4,651,153",G,
28,Mississippi,6:   20-99,"3,958","5,333","144,691",G,"4,437,006",G,
28,Mississippi,7:   100-499,"1,094","3,233","118,856",G,"3,896,903",G,
28,Mississippi,8:   <500,"43,310","47,271","431,798",G,"12,985,062",G,
28,Mississippi,9:   500+,"1,659","11,321","455,974",G,"16,600,248",G,
29,Missouri,1:   Total,"114,817","147,274","2,298,295",G,"92,601,836",G,
29,Missouri,2:   0-4,"68,296","68,408","113,275",G,"3,492,666",G,
29,Missouri,3:   5-9,"18,664","18,903","121,910",G,"3,701,757",G,
29,Missouri,4:   10-19,"11,920","12,583","158,560",G,"5,026,351",G,
29,Missouri,5:   <20,"98,880","99,894","393,745",G,"12,220,774",G,
29,Missouri,6:   20-99,"10,421","13,999","390,160",G,"13,612,978",G,
29,Missouri,7:   100-499,"2,673","7,809","314,171",G,"11,890,131",G,
29,Missouri,8:   <500,"111,974","121,702","1,098,076",G,"37,723,883",G,
29,Missouri,9:   500+,"2,843","25,572","1,200,219",G,"54,877,953",G,
30,Montana,1:   Total,"31,033","35,687","336,110",G,"11,291,642",G,
30,Montana,2:   0-4,"19,804","19,832","30,730",G,"971,015",G,
30,Montana,3:   5-9,"5,098","5,150","33,327",G,"894,081",G,
30,Montana,4:   10-19,"2,837","2,988","37,611",G,"1,036,032",G,
30,Montana,5:   <20,"27,739","27,970","101,668",G,"2,901,128",G,
30,Montana,6:   20-99,"1,990","2,707","69,778",G,"2,107,543",G,
30,Montana,7:   100-499,494,"1,487","55,046",G,"1,952,039",G,
30,Montana,8:   <500,"30,223","32,164","226,492",G,"6,960,710",G,
30,Montana,9:   500+,810,"3,523","109,618",G,"4,330,932",G,
31,Nebraska,1:   Total,"41,569","51,553","797,681",G,"29,969,153",G,
31,Nebraska,2:   0-4,"24,320","24,366","40,723",G,"1,230,209",G,
31,Nebraska,3:   5-9,"6,890","6,991","45,032",G,"1,301,134",G,
31,Nebraska,4:   10-19,"4,254","4,505","56,398",G,"1,666,605",G,
31,Nebraska,5:   <20,"35,464","35,862","142,153",G,"4,197,948",G,
31,Nebraska,6:   20-99,"3,716","5,122","137,072",G,"4,634,044",G,
31,Nebraska,7:   100-499,955,"2,979","106,824",G,"4,099,410",G,
31,Nebraska,8:   <500,"40,135","43,963","386,049",G,"12,931,402",G,
31,Nebraska,9:   500+,"1,434","7,590","411,632",G,"17,037,751",G,
32,Nevada,1:   Total,"46,923","58,777","1,000,610",G,"38,743,505",G,
32,Nevada,2:   0-4,"27,456","27,510","42,334",G,"2,021,113",G,
32,Nevada,3:   5-9,"7,315","7,419","47,837",G,"1,656,008",G,
32,Nevada,4:   10-19,"4,587","4,760","60,229",G,"2,118,905",G,
32,Nevada,5:   <20,"39,358","39,689","150,400",G,"5,796,026",G,
32,Nevada,6:   20-99,"4,068","5,000","139,520",G,"5,167,154",G,
32,Nevada,7:   100-499,"1,405","2,903","121,056",G,"4,432,384",G,
32,Nevada,8:   <500,"44,831","47,592","410,976",G,"15,395,564",G,
32,Nevada,9:   500+,"2,092","11,185","589,634",G,"23,347,941",G,
33,New Hampshire,1:   Total,"30,554","37,031","554,001",G,"24,369,871",G,
33,New Hampshire,2:   0-4,"17,156","17,182","29,519",G,"1,276,337",G,
33,New Hampshire,3:   5-9,"5,386","5,445","35,414",G,"1,250,365",G,
33,New Hampshire,4:   10-19,"3,250","3,376","42,748",G,"1,617,425",G,
33,New Hampshire,5:   <20,"25,792","26,003","107,681",G,"4,144,127",G,
33,New Hampshire,6:   20-99,"2,779","3,431","97,662",G,"4,089,723",G,
33,New Hampshire,7:   100-499,761,"1,872","77,321",G,"3,273,923",G,
33,New Hampshire,8:   <500,"29,332","31,306","282,664",G,"11,507,773",G,
33,New Hampshire,9:   500+,"1,222","5,725","271,337",G,"12,862,098",G,
34,New Jersey,1:   Total,"191,736","226,878","3,377,848",G,"183,507,386",G,
34,New Jersey,2:   0-4,"119,872","120,069","202,287",G,"8,389,414",G,
34,New Jersey,3:   5-9,"30,879","31,190","201,329",G,"7,943,392",G,
34,New Jersey,4:   10-19,"18,362","18,944","244,028",G,"10,393,001",G,
34,New Jersey,5:   <20,"169,113","170,203","647,644",G,"26,725,807",G,
34,New Jersey,6:   20-99,"15,675","18,154","581,170",G,"26,993,255",G,
34,New Jersey,7:   100-499,"3,734","7,873","460,202",G,"23,273,392",G,
34,New Jersey,8:   <500,"188,522","196,230","1,689,016",G,"76,992,454",G,
34,New Jersey,9:   500+,"3,214","30,648","1,688,832",G,"106,514,932",G,
35,New Mexico,1:   Total,"35,124","43,860","597,568",G,"22,037,682",G,
35,New Mexico,2:   0-4,"19,794","19,839","33,867",G,"1,084,325",G,
35,New Mexico,3:   5-9,"5,941","6,031","39,089",G,"1,160,594",G,
35,New Mexico,4:   10-19,"3,741","3,878","49,646",G,"1,560,271",G,
35,New Mexico,5:   <20,"29,476","29,748","122,602",G,"3,805,190",G,
35,New Mexico,6:   20-99,"3,203","4,185","114,184",G,"3,763,345",G,
35,New Mexico,7:   100-499,892,"2,363","90,720",G,"3,216,523",G,
35,New Mexico,8:   <500,"33,571","36,296","327,506",G,"10,785,058",G,
