Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, Annual Payroll, and Receipts by Enterprise Employment Size for the United States and States, Totals:  2012",,,,,,,,,,,,,,
,,,,,,,,,,,,,," release date: 6/22/2015, revised 2/9/2016"
"SOURCE: 2012 County Business Patterns and 2012 Economic Census.  For information on confidentiality protection, sampling error, and nonsampling error, see https://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,,
"For definitions, see https://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,,
FIPS CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,"RECEIPTS       ($1,000)",RECEIPTS NOISE FLAG,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
15,Hawaii,07:  100-499,604,"1,922","77,209",G,"2,902,178",G,"12,962,571",G,,,,
15,Hawaii,08:  <500,"23,990","26,567","258,345",G,"9,243,889",G,"40,809,278",G,,,,
15,Hawaii,09:  500+,933,"4,929","233,744",G,"9,834,664",G,"59,329,399",G,,,,
16,Idaho,01:  Total,"35,966","42,899","493,786",G,"17,605,429",G,"114,234,695",G,,,,
16,Idaho,02:  0-4,"22,041","22,051","34,658",G,"1,124,111",G,"6,453,105",G,,,,
16,Idaho,03:  5-9,"5,891","5,951","38,853",G,"1,097,252",G,"7,290,439",G,,,,
16,Idaho,04:  10-19,"3,403","3,596","44,560",G,"1,303,661",G,"6,114,072",G,,,,
16,Idaho,05:  <20,"31,335","31,598","118,071",G,"3,525,024",G,"19,857,616",G,,,,
16,Idaho,06:  20-99,"2,697","3,831","92,911",G,"2,942,612",G,"16,718,551",G,,,,
16,Idaho,07:  100-499,737,"2,147","67,118",G,"2,171,373",G,"14,515,075",G,,,,
16,Idaho,08:  <500,"34,769","37,576","278,100",G,"8,639,009",G,"51,091,242",G,,,,
16,Idaho,09:  500+,"1,197","5,323","215,686",G,"8,966,420",G,"63,143,453",G,,,,
17,Illinois,01:  Total,"253,146","314,199","5,119,826",G,"255,694,139",G,"1,632,465,879",G,,,,
17,Illinois,02:  0-4,"155,238","155,402","246,620",H,"10,779,777",G,"63,767,300",G,,,,
17,Illinois,03:  5-9,"40,130","40,514","263,015",G,"9,758,161",G,"49,808,788",G,,,,
17,Illinois,04:  10-19,"24,563","25,780","327,198",G,"13,023,031",G,"63,583,172",G,,,,
17,Illinois,05:  <20,"219,931","221,696","836,833",G,"33,560,969",G,"177,159,260",G,,,,
17,Illinois,06:  20-99,"22,844","29,163","850,612",G,"37,370,500",G,"188,212,361",G,,,,
17,Illinois,07:  100-499,"5,914","15,310","729,929",G,"35,393,378",G,"193,790,300",G,,,,
17,Illinois,08:  <500,"248,689","266,169","2,417,374",G,"106,324,847",G,"559,161,921",G,,,,
17,Illinois,09:  500+,"4,457","48,030","2,702,452",G,"149,369,292",G,"1,073,303,958",G,,,,
18,Indiana,01:  Total,"109,104","143,974","2,512,908",G,"99,677,281",G,"677,099,572",G,,,,
18,Indiana,02:  0-4,"59,981","60,045","105,109",G,"3,377,169",G,"20,925,785",G,,,,
18,Indiana,03:  5-9,"19,826","20,047","130,583",G,"3,845,351",G,"18,958,271",G,,,,
18,Indiana,04:  10-19,"12,250","12,943","163,160",G,"5,174,565",G,"25,244,491",G,,,,
18,Indiana,05:  <20,"92,057","93,035","398,852",G,"12,397,085",G,"65,128,547",G,,,,
18,Indiana,06:  20-99,"11,083","14,823","408,082",G,"14,223,863",G,"78,600,818",G,,,,
18,Indiana,07:  100-499,"2,957","8,764","366,692",G,"14,137,083",G,"81,201,353",G,,,,
18,Indiana,08:  <500,"106,097","116,622","1,173,626",G,"40,758,031",G,"224,930,718",G,,,,
18,Indiana,09:  500+,"3,007","27,352","1,339,282",G,"58,919,250",G,"452,168,854",G,,,,
19,Iowa,01:  Total,"62,724","80,649","1,293,694",G,"48,946,464",G,"381,387,980",G,,,,
19,Iowa,02:  0-4,"35,874","35,907","62,072",G,"1,898,057",G,"11,840,345",G,,,,
19,Iowa,03:  5-9,"10,935","11,069","71,506",G,"2,036,296",G,"11,636,446",G,,,,
19,Iowa,04:  10-19,"6,694","7,223","88,787",G,"2,732,890",G,"15,913,250",G,,,,
19,Iowa,05:  <20,"53,503","54,199","222,365",G,"6,667,243",G,"39,390,041",G,,,,
19,Iowa,06:  20-99,"5,821","8,864","214,754",G,"7,404,702",G,"47,937,473",G,,,,
19,Iowa,07:  100-499,"1,592","5,493","200,718",G,"7,872,524",G,"57,508,897",G,,,,
19,Iowa,08:  <500,"60,916","68,556","637,837",G,"21,944,469",G,"144,836,411",G,,,,
19,Iowa,09:  500+,"1,808","12,093","655,857",G,"27,001,995",G,"236,551,569",G,,,,
20,Kansas,01:  Total,"58,159","73,944","1,134,216",G,"45,608,072",G,"360,379,513",G,,,,
20,Kansas,02:  0-4,"32,744","32,798","56,817",G,"1,856,582",G,"12,037,229",G,,,,
20,Kansas,03:  5-9,"10,018","10,120","65,757",G,"1,992,698",G,"10,530,807",G,,,,
20,Kansas,04:  10-19,"6,169","6,551","81,736",G,"2,712,884",G,"14,654,209",G,,,,
20,Kansas,05:  <20,"48,931","49,469","204,310",G,"6,562,164",G,"37,222,245",G,,,,
20,Kansas,06:  20-99,"5,565","7,841","202,931",G,"7,305,438",G,"38,982,084",G,,,,
20,Kansas,07:  100-499,"1,609","4,594","187,807",G,"7,256,457",G,"42,663,730",G,,,,
20,Kansas,08:  <500,"56,105","61,904","595,048",G,"21,124,059",G,"118,868,059",G,,,,
20,Kansas,09:  500+,"2,054","12,040","539,168",G,"24,484,013",G,"241,511,454",G,,,,
21,Kentucky,01:  Total,"67,898","89,795","1,481,323",G,"56,039,216",G,"447,366,099",G,,,,
21,Kentucky,02:  0-4,"37,246","37,280","65,877",G,"2,027,112",G,"12,590,103",G,,,,
21,Kentucky,03:  5-9,"12,212","12,346","80,160",G,"2,292,921",G,"12,050,422",G,,,,
21,Kentucky,04:  10-19,"7,639","8,043","101,294",G,"3,051,284",G,"15,302,950",G,,,,
21,Kentucky,05:  <20,"57,097","57,669","247,331",G,"7,371,317",G,"39,943,475",G,,,,
21,Kentucky,06:  20-99,"6,621","9,007","236,647",G,"8,077,905",G,"43,977,766",G,,,,
21,Kentucky,07:  100-499,"1,798","5,234","202,539",G,"7,285,738",G,"43,781,324",G,,,,
21,Kentucky,08:  <500,"65,516","71,910","686,517",G,"22,734,960",G,"127,702,565",G,,,,
21,Kentucky,09:  500+,"2,382","17,885","794,806",G,"33,304,256",G,"319,663,534",G,,,,
22,Louisiana,01:  Total,"80,893","104,059","1,644,282",G,"68,864,331",G,"608,646,978",G,,,,
22,Louisiana,02:  0-4,"43,874","43,924","78,597",G,"2,964,240",G,"17,375,927",G,,,,
22,Louisiana,03:  5-9,"15,076","15,259","99,479",G,"3,131,848",G,"17,054,622",G,,,,
22,Louisiana,04:  10-19,"9,151","9,653","121,892",G,"4,072,272",G,"20,115,870",G,,,,
22,Louisiana,05:  <20,"68,101","68,836","299,968",G,"10,168,360",G,"54,546,419",G,,,,
22,Louisiana,06:  20-99,"8,521","11,380","325,173",G,"11,723,183",G,"57,389,697",G,,,,
22,Louisiana,07:  100-499,"2,098","5,746","266,984",G,"11,451,551",G,"70,334,966",G,,,,
22,Louisiana,08:  <500,"78,720","85,962","892,125",G,"33,343,094",G,"182,271,082",G,,,,
22,Louisiana,09:  500+,"2,173","18,097","752,157",G,"35,521,237",G,"426,375,896",H,,,,
23,Maine,01:  Total,"33,078","40,120","486,838",G,"18,486,234",G,"100,240,132",G,,,,
23,Maine,02:  0-4,"20,534","20,563","32,186",G,"1,120,613",G,"6,447,502",G,,,,
23,Maine,03:  5-9,"5,277","5,338","34,638",G,"1,071,532",G,"5,003,871",G,,,,
23,Maine,04:  10-19,"3,102","3,285","41,298",G,"1,312,278",G,"5,895,904",G,,,,
23,Maine,05:  <20,"28,913","29,186","108,122",G,"3,504,423",G,"17,347,277",G,,,,
23,Maine,06:  20-99,"2,535","3,657","92,581",G,"3,166,846",G,"14,120,161",G,,,,
23,Maine,07:  100-499,621,"2,262","78,254",G,"2,893,826",G,"15,604,692",G,,,,
23,Maine,08:  <500,"32,069","35,105","278,957",G,"9,565,095",G,"47,072,130",G,,,,
23,Maine,09:  500+,"1,009","5,015","207,881",G,"8,921,139",G,"53,168,002",G,,,,
24,Maryland,01:  Total,"107,324","134,305","2,152,458",G,"105,889,051",G,"501,645,274",G,,,,
24,Maryland,02:  0-4,"61,518","61,585","104,930",G,"4,500,711",G,"23,790,434",G,,,,
24,Maryland,03:  5-9,"18,270","18,408","120,138",G,"4,585,276",G,"20,900,527",G,,,,
24,Maryland,04:  10-19,"11,427","11,915","152,081",G,"6,183,127",G,"24,637,339",G,,,,
24,Maryland,05:  <20,"91,215","91,908","377,149",G,"15,269,114",G,"69,328,300",G,,,,
24,Maryland,06:  20-99,"10,677","13,241","395,709",G,"17,708,872",G,"71,859,962",G,,,,
24,Maryland,07:  100-499,"2,711","6,529","318,598",G,"15,773,833",G,"66,086,292",G,,,,
24,Maryland,08:  <500,"104,603","111,678","1,091,456",G,"48,751,819",G,"207,274,554",G,,,,
24,Maryland,09:  500+,"2,721","22,627","1,061,002",G,"57,137,232",G,"294,370,720",G,,,,
25,Massachusetts,01:  Total,"138,386","171,279","3,043,759",G,"173,520,982",G,"827,418,281",G,,,,
25,Massachusetts,02:  0-4,"80,356","80,445","136,720",G,"6,495,516",G,"37,427,832",G,,,,
25,Massachusetts,03:  5-9,"24,198","24,481","158,783",G,"6,570,573",G,"29,805,604",G,,,,
25,Massachusetts,04:  10-19,"14,493","15,147","193,393",G,"8,510,528",G,"35,137,467",G,,,,
25,Massachusetts,05:  <20,"119,047","120,073","488,896",G,"21,576,617",G,"102,370,903",G,,,,
25,Massachusetts,06:  20-99,"12,917","16,019","478,514",G,"24,473,706",G,"106,453,652",G,,,,
25,Massachusetts,07:  100-499,"3,401","8,844","436,824",G,"23,380,857",G,"97,989,895",G,,,,
25,Massachusetts,08:  <500,"135,365","144,936","1,404,234",G,"69,431,180",G,"306,814,450",G,,,,
25,Massachusetts,09:  500+,"3,021","26,343","1,639,525",G,"104,089,802",G,"520,603,831",G,,,,
26,Michigan,01:  Total,"172,118","217,440","3,468,089",G,"152,248,431",G,"975,515,118",G,,,,
26,Michigan,02:  0-4,"99,326","99,418","167,319",G,"6,356,286",G,"39,204,838",G,,,,
26,Michigan,03:  5-9,"31,296","31,587","205,825",G,"6,790,713",G,"33,014,461",G,,,,
26,Michigan,04:  10-19,"18,756","19,738","251,102",G,"8,867,116",G,"40,939,834",G,,,,
26,Michigan,05:  <20,"149,378","150,743","624,246",G,"22,014,115",G,"113,159,133",G,,,,
26,Michigan,06:  20-99,"15,954","21,714","602,846",G,"23,570,402",G,"118,735,404",G,,,,
26,Michigan,07:  100-499,"3,721","11,314","528,809",G,"22,708,681",G,"118,629,751",G,,,,
26,Michigan,08:  <500,"169,053","183,771","1,755,901",G,"68,293,198",G,"350,524,288",G,,,,
26,Michigan,09:  500+,"3,065","33,669","1,712,188",G,"83,955,233",G,"624,990,830",G,,,,
27,Minnesota,01:  Total,"117,124","145,776","2,480,643",G,"116,324,440",G,"676,735,077",G,,,,
27,Minnesota,02:  0-4,"70,075","70,137","107,920",G,"4,307,137",G,"25,784,735",G,,,,
27,Minnesota,03:  5-9,"18,396","18,597","121,081",G,"4,106,107",G,"22,898,338",G,,,,
27,Minnesota,04:  10-19,"12,065","12,731","161,228",G,"5,530,633",G,"31,014,744",G,,,,
27,Minnesota,05:  <20,"100,536","101,465","390,229",G,"13,943,877",G,"79,697,817",G,,,,
27,Minnesota,06:  20-99,"11,129","14,970","422,819",G,"16,448,552",G,"88,397,032",G,,,,
27,Minnesota,07:  100-499,"2,835","8,240","373,861",G,"15,772,560",G,"77,745,818",G,,,,
27,Minnesota,08:  <500,"114,500","124,675","1,186,909",G,"46,164,989",G,"245,840,667",G,,,,
27,Minnesota,09:  500+,"2,624","21,101","1,293,734",G,"70,159,451",G,"430,894,410",G,,,,
28,Mississippi,01:  Total,"44,734","58,644","895,804",G,"30,897,159",G,"213,350,737",G,,,,
28,Mississippi,02:  0-4,"24,610","24,630","45,466",G,"1,328,962",G,"8,586,498",G,,,,
28,Mississippi,03:  5-9,"8,456","8,565","55,416",G,"1,497,462",G,"7,827,396",G,,,,
