Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2009",,,,,,,, release date:11/2011,,
,,,,,,,,,,
"SOURCE: 2009 County Business Patterns.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/econ/susb/methodology.html",,,,,,,,,,
FIPS CODE,AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,
12,Florida,4:   10-19,"32,043","33,514","422,698",G,"13,991,598",G,,
12,Florida,5:   <20,"364,368","366,827","1,228,214",G,"40,998,662",G,,
12,Florida,6:   20-99,"25,195","31,540","927,518",G,"32,087,293",G,,
12,Florida,7:   100-499,"5,899","16,772","745,513",G,"28,272,050",G,,
12,Florida,8:   <500,"395,462","415,139","2,901,245",G,"101,358,005",G,,
12,Florida,9:   500+,"4,357","76,110","3,960,367",G,"152,002,438",G,,
13,Georgia,1:   Total,"171,747","219,348","3,410,505",G,"136,632,394",G,,
13,Georgia,2:   0-4,"104,423","104,551","171,287",G,"5,797,887",G,,
13,Georgia,3:   5-9,"27,646","27,936","180,877",G,"5,648,625",G,,
13,Georgia,4:   10-19,"17,078","17,843","226,612",G,"7,285,304",G,,
13,Georgia,5:   <20,"149,147","150,330","578,776",G,"18,731,816",G,,
13,Georgia,6:   20-99,"14,693","18,308","528,063",G,"18,025,451",G,,
13,Georgia,7:   100-499,"4,024","9,906","427,078",G,"16,393,715",G,,
13,Georgia,8:   <500,"167,864","178,544","1,533,917",G,"53,150,982",G,,
13,Georgia,9:   500+,"3,883","40,804","1,876,588",G,"83,481,412",G,,
15,Hawaii,1:   Total,"25,746","32,372","488,403",G,"17,742,683",G,,
15,Hawaii,2:   0-4,"14,320","14,357","25,409",G,"929,669",G,,
15,Hawaii,3:   5-9,"4,658","4,738","30,696",G,"972,841",G,,
15,Hawaii,4:   10-19,"2,846","3,027","37,481",G,"1,201,712",G,,
15,Hawaii,5:   <20,"21,824","22,122","93,586",G,"3,104,222",G,,
15,Hawaii,6:   20-99,"2,404","3,415","90,411",G,"3,058,702",G,,
15,Hawaii,7:   100-499,610,"1,945","82,481",G,"2,949,946",G,,
15,Hawaii,8:   <500,"24,838","27,482","266,478",G,"9,112,870",G,,
15,Hawaii,9:   500+,908,"4,890","221,925",G,"8,629,813",G,,
16,Idaho,1:   Total,"37,482","44,300","500,226",G,"16,328,394",G,,
16,Idaho,2:   0-4,"23,115","23,142","36,549",G,"1,077,581",G,,
16,Idaho,3:   5-9,"6,120","6,180","40,085",G,"1,038,136",G,,
16,Idaho,4:   10-19,"3,602","3,781","47,241",G,"1,252,982",G,,
16,Idaho,5:   <20,"32,837","33,103","123,875",G,"3,368,699",G,,
16,Idaho,6:   20-99,"2,769","3,778","95,824",G,"2,885,241",G,,
16,Idaho,7:   100-499,713,"2,099","67,307",G,"1,998,250",G,,
16,Idaho,8:   <500,"36,319","38,980","287,006",G,"8,252,190",G,,
16,Idaho,9:   500+,"1,163","5,320","213,220",G,"8,076,204",G,,
17,Illinois,1:   Total,"254,007","314,977","5,120,970",G,"233,992,734",G,,
17,Illinois,2:   0-4,"153,446","153,675","247,277",G,"9,933,990",G,,
17,Illinois,3:   5-9,"41,222","41,684","269,762",G,"9,327,472",G,,
17,Illinois,4:   10-19,"25,905","27,086","344,663",G,"12,797,957",G,,
17,Illinois,5:   <20,"220,573","222,445","861,702",G,"32,059,419",G,,
17,Illinois,6:   20-99,"23,233","29,155","864,951",G,"35,135,892",G,,
17,Illinois,7:   100-499,"5,832","14,829","728,047",G,"32,073,640",G,,
17,Illinois,8:   <500,"249,638","266,429","2,454,700",G,"99,268,951",G,,
17,Illinois,9:   500+,"4,369","48,548","2,666,270",G,"134,723,783",G,,
18,Indiana,1:   Total,"111,972","146,017","2,449,980",G,"88,394,198",G,,
18,Indiana,2:   0-4,"61,984","62,071","108,897",G,"3,339,650",G,,
18,Indiana,3:   5-9,"20,320","20,550","133,397",G,"3,683,609",G,,
18,Indiana,4:   10-19,"12,886","13,577","171,844",G,"4,974,588",G,,
18,Indiana,5:   <20,"95,190","96,198","414,138",G,"11,997,847",G,,
18,Indiana,6:   20-99,"10,957","14,652","406,121",G,"13,008,871",G,,
18,Indiana,7:   100-499,"2,932","8,604","365,648",G,"12,736,069",G,,
18,Indiana,8:   <500,"109,079","119,454","1,185,907",G,"37,742,787",G,,
18,Indiana,9:   500+,"2,893","26,563","1,264,073",G,"50,651,411",G,,
19,Iowa,1:   Total,"63,720","80,971","1,283,769",G,"43,832,368",G,,
19,Iowa,2:   0-4,"36,263","36,302","61,799",G,"1,750,347",G,,
19,Iowa,3:   5-9,"11,070","11,217","72,350",G,"1,920,877",G,,
