Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2010",,,,,,,, release date:10/2012,
,,,,,,,,,
"SOURCE: 2010 County Business Patterns.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/econ/susb/methodology.html",,,,,,,,,
FIPS CODE,AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,
40,Oklahoma,8:   <500,"69,955","75,625","673,373",G,"22,139,764",G,
40,Oklahoma,9:   500+,"2,017","14,425","567,795",G,"23,954,537",G,
41,Oregon,1:   Total,"87,996","107,397","1,351,164",G,"54,367,614",G,
41,Oregon,2:   0-4,"53,341","53,431","88,672",G,"2,750,942",G,
41,Oregon,3:   5-9,"14,559","14,722","95,896",G,"2,770,704",G,
41,Oregon,4:   10-19,"9,457","9,959","125,241",G,"3,708,892",G,
41,Oregon,5:   <20,"77,357","78,112","309,809",G,"9,230,538",G,
41,Oregon,6:   20-99,"6,804","9,217","245,106",G,"8,702,174",G,
41,Oregon,7:   100-499,"1,756","5,901","195,378",G,"7,489,613",G,
41,Oregon,8:   <500,"85,917","93,230","750,293",G,"25,422,325",G,
41,Oregon,9:   500+,"2,079","14,167","600,871",G,"28,945,289",G,
42,Pennsylvania,1:   Total,"231,192","297,023","4,976,193",G,"211,638,083",G,
42,Pennsylvania,2:   0-4,"131,847","132,066","231,401",G,"7,810,577",G,
42,Pennsylvania,3:   5-9,"41,063","41,561","269,441",G,"8,571,430",G,
42,Pennsylvania,4:   10-19,"26,933","28,281","360,841",G,"12,280,858",G,
42,Pennsylvania,5:   <20,"199,843","201,908","861,683",G,"28,662,865",G,
42,Pennsylvania,6:   20-99,"22,119","28,437","827,944",G,"31,681,937",G,
42,Pennsylvania,7:   100-499,"5,292","15,897","729,406",G,"28,826,299",G,
42,Pennsylvania,8:   <500,"227,254","246,242","2,419,033",G,"89,171,101",G,
42,Pennsylvania,9:   500+,"3,938","50,781","2,557,160",G,"122,466,982",G,
44,Rhode Island,1:   Total,"24,556","28,521","399,000",G,"16,831,981",G,
44,Rhode Island,2:   0-4,"14,475","14,491","23,742",G,"899,602",G,
44,Rhode Island,3:   5-9,"3,932","3,975","25,756",G,"883,741",G,
44,Rhode Island,4:   10-19,"2,483","2,566","33,176",G,"1,162,005",G,
44,Rhode Island,5:   <20,"20,890","21,032","82,674",G,"2,945,348",G,
44,Rhode Island,6:   20-99,"2,068","2,433","73,938",G,"2,805,828",G,
44,Rhode Island,7:   100-499,579,"1,340","64,407",G,"2,546,801",G,
44,Rhode Island,8:   <500,"23,537","24,805","221,019",G,"8,297,977",G,
44,Rhode Island,9:   500+,"1,019","3,716","177,981",G,"8,534,004",H,
45,South Carolina,1:   Total,"78,883","102,045","1,502,853",G,"52,547,532",G,
45,South Carolina,2:   0-4,"45,521","45,636","78,795",G,"2,365,929",G,
45,South Carolina,3:   5-9,"13,673","13,869","89,481",G,"2,515,450",G,
45,South Carolina,4:   10-19,"8,645","9,080","115,460",G,"3,257,791",G,
45,South Carolina,5:   <20,"67,839","68,585","283,736",G,"8,139,170",G,
45,South Carolina,6:   20-99,"6,842","8,894","246,292",G,"7,732,361",G,
45,South Carolina,7:   100-499,"1,849","5,115","197,733",G,"6,451,557",G,
45,South Carolina,8:   <500,"76,530","82,594","727,761",G,"22,323,088",G,
45,South Carolina,9:   500+,"2,353","19,451","775,092",G,"30,224,444",G,
46,South Dakota,1:   Total,"21,637","25,622","329,163",G,"10,843,236",G,
46,South Dakota,2:   0-4,"12,332","12,344","20,695",G,"600,926",G,
46,South Dakota,3:   5-9,"3,578","3,625","23,448",G,"606,322",G,
46,South Dakota,4:   10-19,"2,619","2,759","34,572",G,"907,434",G,
46,South Dakota,5:   <20,"18,529","18,728","78,715",G,"2,114,682",G,
46,South Dakota,6:   20-99,"1,807","2,525","64,232",G,"1,916,803",G,
46,South Dakota,7:   100-499,551,"1,709","60,910",G,"1,939,260",G,
46,South Dakota,8:   <500,"20,887","22,962","203,857",G,"5,970,745",G,
46,South Dakota,9:   500+,750,"2,660","125,306",G,"4,872,491",H,
47,Tennessee,1:   Total,"97,976","131,582","2,264,032",G,"87,535,962",G,
47,Tennessee,2:   0-4,"53,940","54,038","97,304",G,"3,150,401",G,
47,Tennessee,3:   5-9,"17,338","17,555","114,100",G,"3,436,508",G,
47,Tennessee,4:   10-19,"11,628","12,322","155,400",G,"4,946,439",G,
47,Tennessee,5:   <20,"82,906","83,915","366,804",G,"11,533,348",G,
47,Tennessee,6:   20-99,"9,384","12,249","340,836",G,"12,614,037",G,
47,Tennessee,7:   100-499,"2,710","7,700","309,942",G,"11,793,977",G,
47,Tennessee,8:   <500,"95,000","103,864","1,017,582",G,"35,941,362",G,
47,Tennessee,9:   500+,"2,976","27,718","1,246,450",G,"51,594,600",G,
48,Texas,1:   Total,"394,392","522,146","8,785,238",G,"386,653,791",G,
48,Texas,2:   0-4,"228,849","229,251","397,331",G,"16,404,914",G,
48,Texas,3:   5-9,"69,039","69,888","453,241",G,"15,540,822",G,
48,Texas,4:   10-19,"45,156","47,338","605,431",G,"20,557,339",G,
48,Texas,5:   <20,"343,044","346,477","1,456,003",G,"52,503,075",G,
48,Texas,6:   20-99,"37,304","48,576","1,411,087",G,"52,889,659",G,
48,Texas,7:   100-499,"8,781","26,289","1,209,107",G,"50,028,757",G,
48,Texas,8:   <500,"389,129","421,342","4,076,197",G,"155,421,491",G,
48,Texas,9:   500+,"5,263","100,804","4,709,041",G,"231,232,300",G,
49,Utah,1:   Total,"57,664","68,820","1,021,143",G,"38,022,357",G,
49,Utah,2:   0-4,"35,839","35,885","52,988",G,"1,883,806",G,
49,Utah,3:   5-9,"8,409","8,496","55,600",G,"1,585,817",G,
49,Utah,4:   10-19,"5,663","5,893","74,828",G,"2,172,817",G,
49,Utah,5:   <20,"49,911","50,274","183,416",G,"5,642,440",G,
49,Utah,6:   20-99,"4,642","5,912","170,226",G,"5,739,315",G,
49,Utah,7:   100-499,"1,255","2,877","138,263",G,"5,116,279",G,
49,Utah,8:   <500,"55,808","59,063","491,905",G,"16,498,034",G,
49,Utah,9:   500+,"1,856","9,757","529,238",G,"21,524,323",G,
50,Vermont,1:   Total,"18,596","21,451","264,099",G,"9,307,917",G,
50,Vermont,2:   0-4,"11,106","11,119","18,287",G,"642,415",G,
50,Vermont,3:   5-9,"3,047","3,087","19,939",G,"606,979",G,
50,Vermont,4:   10-19,"1,961","2,060","26,012",G,"774,417",G,
50,Vermont,5:   <20,"16,114","16,266","64,238",G,"2,023,811",G,
50,Vermont,6:   20-99,"1,415","1,961","49,219",G,"1,720,137",G,
50,Vermont,7:   100-499,379,"1,091","44,263",G,"1,656,724",G,
50,Vermont,8:   <500,"17,908","19,318","157,720",G,"5,400,672",G,
50,Vermont,9:   500+,688,"2,133","106,379",G,"3,907,245",G,
51,Virginia,1:   Total,"149,271","193,042","2,998,278",G,"139,058,799",G,
51,Virginia,2:   0-4,"87,986","88,124","148,595",G,"5,559,099",G,
51,Virginia,3:   5-9,"24,925","25,236","163,449",G,"5,606,108",G,
51,Virginia,4:   10-19,"16,378","17,164","218,238",G,"7,729,380",G,
51,Virginia,5:   <20,"129,289","130,524","530,282",G,"18,894,587",G,
51,Virginia,6:   20-99,"13,246","16,942","483,452",G,"20,188,849",G,
51,Virginia,7:   100-499,"3,456","9,458","423,734",G,"19,757,475",G,
51,Virginia,8:   <500,"145,991","156,924","1,437,468",G,"58,840,911",G,
51,Virginia,9:   500+,"3,280","36,118","1,560,810",G,"80,217,888",G,
53,Washington,1:   Total,"144,377","175,914","2,326,731",G,"111,398,501",G,
53,Washington,2:   0-4,"88,179","88,303","144,087",G,"5,045,030",G,
53,Washington,3:   5-9,"23,786","24,064","155,702",G,"5,024,239",G,
53,Washington,4:   10-19,"15,608","16,337","206,510",G,"6,925,728",G,
53,Washington,5:   <20,"127,573","128,704","506,299",G,"16,994,997",G,
53,Washington,6:   20-99,"11,078","14,622","397,494",G,"15,883,699",G,
53,Washington,7:   100-499,"2,978","8,194","345,815",G,"15,551,182",G,
53,Washington,8:   <500,"141,629","151,520","1,249,608",G,"48,429,878",G,
53,Washington,9:   500+,"2,748","24,394","1,077,123",G,"62,968,623",G,
54,West Virginia,1:   Total,"29,609","38,676","560,450",G,"19,323,797",G,
54,West Virginia,2:   0-4,"15,873","15,897","29,516",G,"770,713",G,
54,West Virginia,3:   5-9,"5,457","5,527","35,528",G,"901,979",G,
54,West Virginia,4:   10-19,"3,655","3,854","48,598",G,"1,293,601",G,
54,West Virginia,5:   <20,"24,985","25,278","113,642",G,"2,966,293",G,
54,West Virginia,6:   20-99,"2,665","3,756","95,295",G,"3,034,640",G,
54,West Virginia,7:   100-499,777,"2,281","88,764",G,"2,843,793",G,
54,West Virginia,8:   <500,"28,427","31,315","297,701",G,"8,844,726",G,
54,West Virginia,9:   500+,"1,182","7,361","262,749",G,"10,479,071",G,
55,Wisconsin,1:   Total,"110,435","139,554","2,320,696",G,"90,916,263",G,
55,Wisconsin,2:   0-4,"61,381","61,503","103,742",G,"3,465,340",G,
55,Wisconsin,3:   5-9,"19,156","19,414","125,821",G,"3,703,101",G,
55,Wisconsin,4:   10-19,"13,454","14,145","180,428",G,"5,327,947",G,
55,Wisconsin,5:   <20,"93,991","95,062","409,991",G,"12,496,388",G,
55,Wisconsin,6:   20-99,"11,389","15,421","425,831",G,"14,430,510",G,
55,Wisconsin,7:   100-499,"2,627","7,829","365,964",G,"13,664,509",G,
55,Wisconsin,8:   <500,"108,007","118,312","1,201,786",G,"40,591,407",G,
55,Wisconsin,9:   500+,"2,428","21,242","1,118,910",G,"50,324,856",G,
56,Wyoming,1:   Total,"17,585","20,231","205,046",G,"8,398,298",G,
56,Wyoming,2:   0-4,"10,561","10,572","17,387",G,"625,443",G,
56,Wyoming,3:   5-9,"2,899","2,924","19,052",G,"586,432",G,
56,Wyoming,4:   10-19,"1,876","1,956","24,869",G,"773,823",G,
56,Wyoming,5:   <20,"15,336","15,452","61,308",G,"1,985,698",G,
56,Wyoming,6:   20-99,"1,202","1,649","40,018",G,"1,453,118",G,
56,Wyoming,7:   100-499,371,827,"31,594",G,"1,280,713",G,
56,Wyoming,8:   <500,"16,909","17,928","132,920",G,"4,719,529",G,
56,Wyoming,9:   500+,676,"2,303","72,126",G,"3,678,769",G,
,,,,,,,,,
,,,,,,,,,
