Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2014",,,,,,,,,,,,, release date: 9/29/2016
,,,,,,,,,,,,,
"SOURCE: 2014 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see http://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,
"For definitions, see http://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,,,,
36,New York,08:  <500,"454,718","475,099","3,968,482",G,"200,728,524",G,,,,,
36,New York,09:  500+,"4,548","61,791","3,889,943",G,"291,977,959",G,,,,,
37,North Carolina,01:  Total,"168,472","219,897","3,560,448",G,"155,372,284",G,,,,,
37,North Carolina,02:  0-4,"99,745","99,885","165,260",G,"6,030,970",G,,,,,
37,North Carolina,03:  5-9,"28,409","28,707","186,925",G,"6,117,509",G,,,,,
37,North Carolina,04:  10-19,"17,463","18,333","232,432",G,"7,797,440",G,,,,,
37,North Carolina,05:  <20,"145,617","146,925","584,617",G,"19,945,919",G,,,,,
37,North Carolina,06:  20-99,"15,533","20,488","570,444",G,"20,144,207",G,,,,,
37,North Carolina,07:  100-499,"3,688","10,538","438,315",G,"18,052,829",G,,,,,
37,North Carolina,08:  <500,"164,838","177,951","1,593,376",G,"58,142,955",G,,,,,
37,North Carolina,09:  500+,"3,634","41,946","1,967,072",G,"97,229,329",G,,,,,
38,North Dakota,01:  Total,"20,305","24,698","360,970",G,"17,362,523",G,,,,,
38,North Dakota,02:  0-4,"11,243","11,269","17,993",G,"797,047",G,,,,,
38,North Dakota,03:  5-9,"3,394","3,426","22,236",G,"828,825",G,,,,,
38,North Dakota,04:  10-19,"2,186","2,335","29,270",G,"1,137,035",G,,,,,
38,North Dakota,05:  <20,"16,823","17,030","69,499",G,"2,762,907",G,,,,,
38,North Dakota,06:  20-99,"2,037","2,794","74,778",G,"3,282,896",G,,,,,
38,North Dakota,07:  100-499,573,"1,547","65,299",G,"3,017,796",G,,,,,
38,North Dakota,08:  <500,"19,433","21,371","209,576",G,"9,063,599",G,,,,,
38,North Dakota,09:  500+,872,"3,327","151,394",G,"8,298,924",G,,,,,
39,Ohio,01:  Total,"185,539","250,535","4,636,844",G,"203,868,114",G,,,,,
39,Ohio,02:  0-4,"99,937","100,121","176,000",G,"6,782,650",G,,,,,
39,Ohio,03:  5-9,"34,371","34,818","226,466",G,"7,414,732",G,,,,,
39,Ohio,04:  10-19,"22,179","23,346","296,942",G,"10,511,276",G,,,,,
39,Ohio,05:  <20,"156,487","158,285","699,408",G,"24,708,658",G,,,,,
39,Ohio,06:  20-99,"20,131","26,473","759,001",G,"28,969,261",G,,,,,
39,Ohio,07:  100-499,"4,935","14,507","675,881",G,"28,604,940",G,,,,,
39,Ohio,08:  <500,"181,553","199,265","2,134,290",G,"82,282,859",G,,,,,
39,Ohio,09:  500+,"3,986","51,270","2,502,554",G,"121,585,255",G,,,,,
40,Oklahoma,01:  Total,"73,014","92,430","1,359,851",G,"58,150,206",G,,,,,
40,Oklahoma,02:  0-4,"42,518","42,587","72,417",G,"2,673,066",G,,,,,
40,Oklahoma,03:  5-9,"12,568","12,679","82,425",G,"2,701,440",G,,,,,
40,Oklahoma,04:  10-19,"7,312","7,682","97,616",G,"3,357,281",G,,,,,
40,Oklahoma,05:  <20,"62,398","62,948","252,458",G,"8,731,787",G,,,,,
40,Oklahoma,06:  20-99,"6,687","8,937","249,731",G,"9,201,365",G,,,,,
40,Oklahoma,07:  100-499,"1,740","4,916","206,929",G,"8,669,194",G,,,,,
40,Oklahoma,08:  <500,"70,825","76,801","709,118",G,"26,602,346",G,,,,,
40,Oklahoma,09:  500+,"2,189","15,629","650,733",G,"31,547,860",G,,,,,
41,Oregon,01:  Total,"89,739","109,875","1,444,041",G,"65,714,985",G,,,,,
41,Oregon,02:  0-4,"53,085","53,153","88,546",G,"3,124,133",G,,,,,
41,Oregon,03:  5-9,"15,499","15,623","101,631",G,"3,251,209",G,,,,,
41,Oregon,04:  10-19,"9,566","10,030","127,278",G,"4,247,669",G,,,,,
41,Oregon,05:  <20,"78,150","78,806","317,455",G,"10,623,011",G,,,,,
41,Oregon,06:  20-99,"7,520","10,025","270,578",G,"10,399,577",G,,,,,
41,Oregon,07:  100-499,"1,837","6,146","213,633",G,"9,113,869",G,,,,,
41,Oregon,08:  <500,"87,507","94,977","801,666",G,"30,136,457",G,,,,,
41,Oregon,09:  500+,"2,232","14,898","642,375",G,"35,578,528",G,,,,,
42,Pennsylvania,01:  Total,"229,522","298,297","5,255,409",G,"248,560,941",G,,,,,
42,Pennsylvania,02:  0-4,"129,956","130,120","229,833",G,"8,447,275",G,,,,,
42,Pennsylvania,03:  5-9,"41,543","41,959","272,598",G,"9,202,498",G,,,,,
42,Pennsylvania,04:  10-19,"25,579","26,820","342,765",G,"12,761,099",G,,,,,
42,Pennsylvania,05:  <20,"197,078","198,899","845,196",G,"30,410,872",G,,,,,
42,Pennsylvania,06:  20-99,"22,887","29,559","863,644",G,"35,518,559",G,,,,,
42,Pennsylvania,07:  100-499,"5,417","15,658","750,885",G,"33,429,080",G,,,,,
42,Pennsylvania,08:  <500,"225,382","244,116","2,459,725",G,"99,358,511",G,,,,,
42,Pennsylvania,09:  500+,"4,140","54,181","2,795,684",G,"149,202,430",G,,,,,
44,Rhode Island,01:  Total,"23,964","28,132","421,578",G,"19,511,135",G,,,,,
44,Rhode Island,02:  0-4,"13,776","13,794","22,594",G,"966,035",G,,,,,
44,Rhode Island,03:  5-9,"3,907","3,934","25,707",G,"951,868",G,,,,,
44,Rhode Island,04:  10-19,"2,433","2,501","32,490",G,"1,220,937",G,,,,,
44,Rhode Island,05:  <20,"20,116","20,229","80,791",G,"3,138,840",G,,,,,
44,Rhode Island,06:  20-99,"2,219","2,622","80,530",G,"3,245,055",G,,,,,
44,Rhode Island,07:  100-499,576,"1,260","64,350",G,"2,800,701",G,,,,,
44,Rhode Island,08:  <500,"22,911","24,111","225,671",G,"9,184,596",G,,,,,
44,Rhode Island,09:  500+,"1,053","4,021","195,907",G,"10,326,539",H,,,,,
45,South Carolina,01:  Total,"78,484","102,297","1,617,249",G,"62,406,424",G,,,,,
45,South Carolina,02:  0-4,"44,826","44,893","77,311",G,"2,730,078",G,,,,,
45,South Carolina,03:  5-9,"13,685","13,866","89,406",G,"2,733,187",G,,,,,
45,South Carolina,04:  10-19,"8,300","8,692","110,122",G,"3,527,856",G,,,,,
45,South Carolina,05:  <20,"66,811","67,451","276,839",G,"8,991,121",G,,,,,
45,South Carolina,06:  20-99,"7,243","9,200","263,512",G,"8,763,534",G,,,,,
45,South Carolina,07:  100-499,"1,968","5,117","217,967",G,"7,883,562",G,,,,,
45,South Carolina,08:  <500,"76,022","81,768","758,318",G,"25,638,217",G,,,,,
45,South Carolina,09:  500+,"2,462","20,529","858,931",G,"36,768,207",G,,,,,
46,South Dakota,01:  Total,"21,904","26,198","347,819",G,"13,161,115",G,,,,,
46,South Dakota,02:  0-4,"12,530","12,540","20,742",G,"693,131",G,,,,,
46,South Dakota,03:  5-9,"3,759","3,798","24,651",G,"720,369",G,,,,,
46,South Dakota,04:  10-19,"2,295","2,442","30,167",G,"929,373",G,,,,,
46,South Dakota,05:  <20,"18,584","18,780","75,560",G,"2,342,873",G,,,,,
46,South Dakota,06:  20-99,"1,910","2,633","68,778",G,"2,329,012",G,,,,,
46,South Dakota,07:  100-499,562,"1,720","62,750",G,"2,264,519",G,,,,,
46,South Dakota,08:  <500,"21,056","23,133","207,088",G,"6,936,404",G,,,,,
46,South Dakota,09:  500+,848,"3,065","140,731",G,"6,224,711",G,,,,,
47,Tennessee,01:  Total,"96,270","131,504","2,453,470",G,"103,559,163",G,,,,,
47,Tennessee,02:  0-4,"51,545","51,621","93,797",G,"3,469,824",G,,,,,
47,Tennessee,03:  5-9,"17,712","17,911","116,383",G,"3,773,363",G,,,,,
47,Tennessee,04:  10-19,"10,977","11,574","146,170",G,"5,306,933",G,,,,,
47,Tennessee,05:  <20,"80,234","81,106","356,350",G,"12,550,120",G,,,,,
47,Tennessee,06:  20-99,"10,071","13,262","371,053",G,"14,761,598",G,,,,,
47,Tennessee,07:  100-499,"2,807","7,702","324,540",G,"13,652,824",G,,,,,
47,Tennessee,08:  <500,"93,112","102,070","1,051,943",G,"40,964,542",G,,,,,
47,Tennessee,09:  500+,"3,158","29,434","1,401,527",G,"62,594,621",G,,,,,
48,Texas,01:  Total,"419,500","557,721","9,920,214",G,"501,456,595",G,,,,,
48,Texas,02:  0-4,"240,965","241,329","411,738",G,"19,283,191",G,,,,,
48,Texas,03:  5-9,"73,884","74,634","486,100",G,"18,188,146",G,,,,,
48,Texas,04:  10-19,"46,433","48,606","621,669",G,"24,134,215",G,,,,,
48,Texas,05:  <20,"361,282","364,569","1,519,507",G,"61,605,552",G,,,,,
48,Texas,06:  20-99,"42,498","54,382","1,617,107",G,"68,351,580",G,,,,,
48,Texas,07:  100-499,"9,997","28,091","1,416,629",G,"68,046,587",G,,,,,
48,Texas,08:  <500,"413,777","447,042","4,553,243",G,"198,003,719",G,,,,,
48,Texas,09:  500+,"5,723","110,679","5,366,971",G,"303,452,876",G,,,,,
49,Utah,01:  Total,"61,242","73,375","1,148,251",G,"47,913,387",G,,,,,
49,Utah,02:  0-4,"37,572","37,605","54,726",H,"2,222,470",G,,,,,
49,Utah,03:  5-9,"9,148","9,221","60,235",G,"1,890,130",G,,,,,
49,Utah,04:  10-19,"6,040","6,244","80,262",G,"2,614,837",G,,,,,
49,Utah,05:  <20,"52,760","53,070","195,223",G,"6,727,437",G,,,,,
49,Utah,06:  20-99,"5,149","6,518","190,371",G,"7,235,230",G,,,,,
49,Utah,07:  100-499,"1,320","3,043","154,674",G,"6,745,948",G,,,,,
49,Utah,08:  <500,"59,229","62,631","540,268",G,"20,708,615",G,,,,,
49,Utah,09:  500+,"2,013","10,744","607,983",G,"27,204,772",G,,,,,
50,Vermont,01:  Total,"18,097","21,041","261,058",G,"10,179,794",G,,,,,
50,Vermont,02:  0-4,"10,629","10,638","17,743",G,"689,233",G,,,,,
50,Vermont,03:  5-9,"3,063","3,082","20,086",G,"674,751",G,,,,,
50,Vermont,04:  10-19,"1,799","1,889","23,656",G,"788,871",G,,,,,
50,Vermont,05:  <20,"15,491","15,609","61,485",G,"2,152,855",G,,,,,
50,Vermont,06:  20-99,"1,507","2,008","52,639",G,"2,013,274",G,,,,,
50,Vermont,07:  100-499,364,"1,089","42,119",G,"1,761,531",G,,,,,
50,Vermont,08:  <500,"17,362","18,706","156,243",G,"5,927,660",G,,,,,
50,Vermont,09:  500+,735,"2,335","104,815",G,"4,252,134",G,,,,,
51,Virginia,01:  Total,"149,464","195,639","3,160,539",G,"159,145,063",G,,,,,
51,Virginia,02:  0-4,"86,942","87,061","147,115",G,"5,988,531",G,,,,,
51,Virginia,03:  5-9,"24,950","25,207","164,056",G,"5,985,756",G,,,,,
51,Virginia,04:  10-19,"16,330","17,094","217,198",G,"8,426,011",G,,,,,
51,Virginia,05:  <20,"128,222","129,362","528,369",G,"20,400,298",G,,,,,
51,Virginia,06:  20-99,"14,198","17,796","521,095",G,"23,310,048",G,,,,,
51,Virginia,07:  100-499,"3,609","9,779","435,888",G,"22,385,728",G,,,,,
51,Virginia,08:  <500,"146,029","156,937","1,485,352",G,"66,096,074",G,,,,,
51,Virginia,09:  500+,"3,435","38,702","1,675,187",G,"93,048,989",G,,,,,
53,Washington,01:  Total,"146,727","179,012","2,528,874",G,"141,277,549",G,,,,,
53,Washington,02:  0-4,"88,573","88,659","142,931",G,"5,746,616",G,,,,,
53,Washington,03:  5-9,"25,295","25,503","165,907",G,"5,917,955",G,,,,,
53,Washington,04:  10-19,"14,860","15,520","196,380",G,"7,634,750",G,,,,,
53,Washington,05:  <20,"128,728","129,682","505,218",G,"19,299,321",G,,,,,
53,Washington,06:  20-99,"12,000","15,344","434,395",G,"19,098,817",G,,,,,
53,Washington,07:  100-499,"3,057","8,366","360,211",G,"18,286,335",G,,,,,
53,Washington,08:  <500,"143,785","153,392","1,299,824",G,"56,684,473",G,,,,,
53,Washington,09:  500+,"2,942","25,620","1,229,050",G,"84,593,076",G,,,,,
54,West Virginia,01:  Total,"27,902","37,354","575,228",G,"22,100,477",G,,,,,
54,West Virginia,02:  0-4,"14,681","14,709","27,145",G,"782,740",G,,,,,
54,West Virginia,03:  5-9,"5,295","5,343","34,620",G,"941,011",G,,,,,
54,West Virginia,04:  10-19,"3,196","3,369","42,273",G,"1,297,176",G,,,,,
54,West Virginia,05:  <20,"23,172","23,421","104,038",G,"3,020,927",G,,,,,
54,West Virginia,06:  20-99,"2,681","3,858","97,933",G,"3,348,496",G,,,,,
54,West Virginia,07:  100-499,776,"2,266","86,240",G,"3,102,631",G,,,,,
54,West Virginia,08:  <500,"26,629","29,545","288,211",G,"9,472,054",G,,,,,
54,West Virginia,09:  500+,"1,273","7,809","287,017",G,"12,628,423",G,,,,,
55,Wisconsin,01:  Total,"108,061","138,221","2,450,254",G,"106,791,126",G,,,,,
55,Wisconsin,02:  0-4,"59,336","59,429","99,747",G,"3,725,817",G,,,,,
55,Wisconsin,03:  5-9,"19,061","19,286","125,253",G,"4,004,843",G,,,,,
55,Wisconsin,04:  10-19,"12,643","13,297","169,938",G,"5,595,122",G,,,,,
55,Wisconsin,05:  <20,"91,040","92,012","394,938",G,"13,325,782",G,,,,,
55,Wisconsin,06:  20-99,"11,668","15,835","445,555",G,"16,453,458",G,,,,,
55,Wisconsin,07:  100-499,"2,774","8,178","389,859",G,"16,395,378",G,,,,,
55,Wisconsin,08:  <500,"105,482","116,025","1,230,352",G,"46,174,618",G,,,,,
55,Wisconsin,09:  500+,"2,579","22,196","1,219,902",G,"60,616,508",G,,,,,
56,Wyoming,01:  Total,"17,852","20,807","219,857",G,"10,375,577",G,,,,,
56,Wyoming,02:  0-4,"10,586","10,589","17,221",G,"738,782",G,,,,,
56,Wyoming,03:  5-9,"3,020","3,047","19,882",G,"683,667",G,,,,,
56,Wyoming,04:  10-19,"1,736","1,816","22,946",G,"829,033",G,,,,,
56,Wyoming,05:  <20,"15,342","15,452","60,049",G,"2,251,482",G,,,,,
56,Wyoming,06:  20-99,"1,347","1,863","45,611",G,"1,928,772",G,,,,,
56,Wyoming,07:  100-499,388,883,"30,717",G,"1,329,303",G,,,,,
56,Wyoming,08:  <500,"17,077","18,198","136,377",G,"5,509,557",G,,,,,
56,Wyoming,09:  500+,775,"2,609","83,480",G,"4,866,020",G,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
